Song,Artist,Download,View
ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,"1,429,897"
How You Like That,BLACKPINK,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,"1,427,588"
Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,"1,424,253"
BXL ZOO,Damso,https://open.spotify.com/track/7BO3y8lmogACezwHqZ1HTB,"1,404,442"
Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,"1,400,051"
DEUX TOILES DE MER,Damso,https://open.spotify.com/track/7yN9Qx1HtE4c1fhakBz8Ay,"1,386,265"
Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,"1,375,104"
goosebumps,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,"1,343,421"
The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,"1,305,950"
Intentions (feat. Quavo),Justin Bieber,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,"1,299,108"
Toosie Slide,Drake,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,"1,284,052"
Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,"1,277,552"
LIFE LIFE,Damso,https://open.spotify.com/track/4FnWH9l7gxQmrNpfA5AZKP,"1,274,718"
Still Don't Know My Name,Labrinth,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV,"1,269,959"
Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9,"1,251,277"
my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,"1,245,563"
Lucid Dreams,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,"1,225,123"
MAMACITA,Black Eyed Peas,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,"1,223,558"
Mamichula - con Nicki Nicole,Trueno,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM,"1,221,019"
MEVTR,Damso,https://open.spotify.com/track/7hBJCiMzo1kZzzRfGOpWwE,"1,216,093"
Memories,Maroon 5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,"1,212,057"
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,"1,211,862"
Señorita,Shawn Mendes,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,"1,198,247"
Party Girl,StaySolidRocky,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP,"1,197,292"
HIGHEST IN THE ROOM,Travis Scott,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,"1,188,277"
Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,"1,183,324"
SICKO MODE,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,"1,181,151"
OK Not To Be OK,Marshmello,https://open.spotify.com/track/0zzVTGyRrWpQu8Fr28NRAv,"1,180,684"
La Tóxica,Farruko,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv,"1,179,302"
Despeinada,Ozuna,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC,"1,174,549"
Falling,Trevor Daniel,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,"1,169,864"
Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,"1,164,488"
Relación,Sech,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ,"1,162,599"
Robbery,Juice WRLD,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,"1,161,647"
"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",Super Yei,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl,"1,149,320"
Wolves (feat. Post Malone),Big Sean,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ,"1,147,348"
Dior,Pop Smoke,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,"1,129,512"
Hot Stuff,Kygo,https://open.spotify.com/track/00ETaeHUQ6lops3oWU1Wrt,"1,127,509"
bad guy,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,"1,112,416"
Electric Love,BØRNS,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,"1,112,300"
Bande organisée,Jul,https://open.spotify.com/track/205HNJ73cgpC0LAOnuQiWT,"1,086,980"
Shallow,Lady Gaga,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,"1,073,059"
Don Don,Daddy Yankee,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt,"1,064,178"
COEUR EN MIETTES,Damso,https://open.spotify.com/track/32arZ09m8FH1vTNJn2xdmH,"1,044,931"
lovely (with Khalid),Billie Eilish,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,"1,041,954"
In Your Eyes,The Weeknd,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,"1,033,966"
Jerusalema (feat. Nomcebo Zikode),Master KG,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi,"1,022,324"
SENTIMENTAL,Damso,https://open.spotify.com/track/2BKPabEQlWzx7jSs1XWnp1,"1,018,582"
Stunnin' (feat. Harm Franklin),Curtis Waters,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx,"1,017,737"
Ride It,Regard,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,"1,014,261"
Life Is Good (feat. Drake),Future,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,"1,009,040"
Be Like That - feat. Swae Lee & Khalid,Kane Brown,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ,"1,008,617"
cardigan,Taylor Swift,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,"1,007,271"
Dolly (with Lil Uzi Vert),Lil Tecca,https://open.spotify.com/track/77Xwqkw7VrV8E5FCq9JhO8,"1,007,229"
Caramelo - Remix,Ozuna,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV,"1,001,725"
What You Know Bout Love,Pop Smoke,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,"999,459"
Over Now (with The Weeknd),Calvin Harris,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR,"993,216"
ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,"988,506"
Hasta Que Dios Diga,Anuel AA,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1,"987,642"
Tick Tock (feat. 24kGoldn),Clean Bandit,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3,"981,131"
TKN (feat. Travis Scott),ROSALÍA,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7,"977,288"
Believer,Imagine Dragons,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,"971,449"
Got It On Me,Pop Smoke,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1,"968,512"
Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,"967,396"
Lets Link,WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5,"962,820"
Jeans,Justin Quiles,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW,"960,766"
THE SCOTTS,THE SCOTTS,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,"959,238"
You Got It,Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,"946,409"
If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,"940,378"
BPM,Damso,https://open.spotify.com/track/2fHZHwEp6TP2ClC1S8ihVN,"926,259"
Be Kind (with Halsey),Marshmello,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,"925,854"
Azul,J Balvin,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1,"923,991"
Falling,Harry Styles,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,"919,940"
Favorito,Camilo,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q,"919,319"
everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,"911,870"
Parce (feat. Justin Quiles),Maluma,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ,"904,020"
911,Damso,https://open.spotify.com/track/2chIkORxBLpPVgruGiMY8k,"894,743"
my future,Billie Eilish,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C,"887,081"
D'JA ROULÉ,Damso,https://open.spotify.com/track/6uNAgsZPuMM5InDczRkbnN,"883,753"
Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,"882,538"
Sunday Best,Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,"880,155"
I Don't Care (with Justin Bieber),Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,"874,309"
Martin & Gina,Polo G,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,"873,339"
Tap In,Saweetie,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD,"872,442"
feel something,Bea Miller,https://open.spotify.com/track/7JDWhC422Gtk1Bq0mL3OTC,"868,971"
Secrets,Regard,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg,"864,780"
Madrid,Maluma,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H,"863,939"
Godzilla (feat. Juice WRLD),Eminem,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,"863,652"
Se Te Nota (with Guaynaa),Lele Pons,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu,"860,068"
Oh Juliana,Niack,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt,"859,121"
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,"856,580"
POUR L'ARGENT,Damso,https://open.spotify.com/track/1KeNgwBOh7iey07BzO6LQ1,"855,178"
Say You Won't Let Go,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,"853,151"
Elegí (feat. Dímelo Flow),Rauw Alejandro,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau,"848,847"
"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9,"846,786"
Jocelyn Flores,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,"843,163"
Einsam an der Spitze,Capital Bra,https://open.spotify.com/track/1JPd9BSiiN7xrKE64Qo30m,"841,220"
After Party,Don Toliver,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,"836,934"
One Too Many,Keith Urban,https://open.spotify.com/track/3X7H1FAiWAW937WvsFeMhe,"835,522"
All Girls Are The Same,Juice WRLD,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,"827,218"
hot girl bummer,blackbear,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9,"825,358"
Shape of You,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,"824,353"
7 rings,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,"820,635"
rockstar (feat. 21 Savage),Post Malone,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,"820,341"
Perfect,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,"819,414"
Play Date,Melanie Martinez,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,"815,804"
Bohemian Rhapsody - 2011 Mix,Queen,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,"815,638"
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG,"799,479"
Rojo,J Balvin,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,"799,105"
SAD!,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,"793,432"
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a,"790,644"
INTRO,Damso,https://open.spotify.com/track/1P0BLHYuyZRr10yMct6qdE,"788,835"
