Song,Artist,Download,View
WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,"6,559,730"
Mood (feat. Iann Dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,"6,008,722"
Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,"5,282,310"
Dynamite,BTS,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,"4,123,319"
Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,"3,870,836"
Watermelon Sugar,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,"3,856,672"
Savage Love (Laxed - Siren Beat),Jawsh 685,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,"3,840,874"
ROCKSTAR (feat. Roddy Ricch),DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,"3,589,735"
Laugh Now Cry Later (feat. Lil Durk),Drake,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,"3,541,325"
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,"3,007,305"
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI,"2,954,514"
Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,"2,920,383"
Breaking Me,Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,"2,741,702"
Ice Cream (with Selena Gomez),BLACKPINK,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX,"2,714,231"
Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,"2,703,859"
Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,"2,655,711"
POPSTAR (feat. Drake),DJ Khaled,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,"2,624,467"
Mood Swings (feat. Lil Tjay),Pop Smoke,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,"2,603,891"
you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,"2,516,652"
"Ay, DiOs Mío!",KAROL G,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776,"2,480,657"
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,"2,371,563"
Come & Go (with Marshmello),Juice WRLD,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,"2,217,154"
Relación - Remix,Sech,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,"2,204,306"
La Curiosidad,Jay Wheeler,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,"2,194,756"
Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,"2,116,318"
Caramelo,Ozuna,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo,"2,042,772"
Midnight Sky,Miley Cyrus,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,"2,020,718"
La Jeepeta - Remix,Nio Garcia,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2,"2,016,133"
Tattoo - Remix with Camilo,Rauw Alejandro,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S,"1,992,997"
Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,"1,949,799"
Rain On Me (with Ariana Grande),Lady Gaga,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,"1,944,819"
OK Not To Be OK,Marshmello,https://open.spotify.com/track/0zzVTGyRrWpQu8Fr28NRAv,"1,836,559"
Before You Go,Lewis Capaldi,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,"1,831,173"
Wishing Well,Juice WRLD,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,"1,828,380"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,"1,796,302"
Take You Dancing,Jason Derulo,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3,"1,783,800"
Go Crazy,Chris Brown,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,"1,780,421"
death bed (coffee for your head),Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,"1,771,086"
GREECE (feat. Drake),DJ Khaled,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,"1,723,361"
Smile (with The Weeknd),Juice WRLD,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,"1,717,720"
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp,"1,714,983"
Don't Start Now,Dua Lipa,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,"1,689,298"
Blueberry Faygo,Lil Mosey,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,"1,604,333"
Kings & Queens,Ava Max,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn,"1,596,764"
Relación,Sech,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ,"1,548,808"
Break My Heart,Dua Lipa,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,"1,548,756"
Djadja (feat. Maluma) - Remix,Aya Nakamura,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g,"1,545,244"
How You Like That,BLACKPINK,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,"1,522,645"
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,"1,522,562"
ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,"1,484,587"
Stuck with U (with Justin Bieber),Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,"1,476,700"
MAMACITA,Black Eyed Peas,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,"1,384,941"
Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,"1,378,426"
Over Now (with The Weeknd),Calvin Harris,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR,"1,367,583"
Toosie Slide,Drake,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,"1,353,743"
Mamichula - con Nicki Nicole,Trueno,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM,"1,347,594"
Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9,"1,341,533"
Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,"1,337,306"
goosebumps,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,"1,332,027"
Still Don't Know My Name,Labrinth,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV,"1,322,982"
The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,"1,311,607"
Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,"1,296,186"
my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,"1,272,685"
Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,"1,238,841"
Lucid Dreams,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,"1,232,299"
Señorita,Shawn Mendes,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,"1,231,020"
Party Girl,StaySolidRocky,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP,"1,226,284"
Memories,Maroon 5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,"1,217,487"
