Song,Artist,Download,View
Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS,"1,677,518"
Santa Tell Me,Ariana Grande,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,"1,661,280"
Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,"1,648,988"
Midnight Sky,Miley Cyrus,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,"1,605,021"
It's Beginning to Look a Lot like Christmas,Michael Bublé,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,"1,602,179"
HOLIDAY,Lil Nas X,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli,"1,570,758"
"Ay, DiOs Mío!",KAROL G,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776,"1,562,872"
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,"1,562,249"
Before You Go,Lewis Capaldi,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,"1,519,171"
Breaking Me,"Topic, A7S",https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,"1,487,299"
Reloj,"Rauw Alejandro, Anuel AA",https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,"1,481,368"
Rockin' Around The Christmas Tree,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,"1,473,036"
Jingle Bell Rock,Bobby Helms,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj,"1,449,585"
Despeinada,"Ozuna, Camilo",https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC,"1,428,630"
Golden,Harry Styles,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl,"1,426,208"
Skit,BTS,https://open.spotify.com/track/4GVwjLRT7oSsKby7Vy8EHr,"1,422,159"
Sofia,Clairo,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM,"1,389,548"
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,"1,388,835"
Come & Go (with Marshmello),Juice WRLD,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,"1,369,081"
Dreams - 2004 Remaster,Fleetwood Mac,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,"1,361,862"
SO DONE,The Kid LAROI,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE,"1,356,582"
Don't Start Now,Dua Lipa,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,"1,352,096"
Tattoo - Remix with Camilo,Rauw Alejandro,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE,"1,323,080"
It's the Most Wonderful Time of the Year,Andy Williams,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A,"1,314,759"
Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),"C. Tangana, La Húngara",https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971,"1,293,858"
Paradise (feat. Dermot Kennedy),MEDUZA,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr,"1,292,231"
lovely (with Khalid),Billie Eilish,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,"1,263,067"
Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,"1,253,460"
The Business,Tiësto,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,"1,238,651"
death bed (coffee for your head),"Powfu, beabadoobee",https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,"1,235,837"
POPSTAR (feat. Drake),DJ Khaled,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,"1,230,834"
Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,"1,217,414"
Underneath the Tree,Kelly Clarkson,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,"1,215,019"
Wishing Well,Juice WRLD,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,"1,212,126"
Mood Swings (feat. Lil Tjay),Pop Smoke,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,"1,212,086"
goosebumps,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,"1,211,809"
La Luz,"Sech, J Balvin",https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol,"1,209,750"
Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,"1,209,325"
La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2,"1,197,694"
Train Wreck,James Arthur,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H,"1,195,937"
Deep End,Fousheé,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA,"1,194,938"
Tyler Herro,Jack Harlow,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB,"1,194,672"
Sweater Weather,The Neighbourhood,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,"1,186,494"
Lucid Dreams,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,"1,178,907"
Somebody’s Problem,Morgan Wallen,https://open.spotify.com/track/0SErdEdRcVX1uJCf1eTGYH,"1,177,404"
Baby (with J Balvin),Sfera Ebbasta,https://open.spotify.com/track/4L5ZhW0VJeQ6je2iqvqZ4X,"1,175,867"
